id,features
0,"[0.2995663583278656, 0.0, 0.31684836745262146, 0.0, 0.23743726313114166, 0.0, 0.1017485037446022, 0.1361294835805893, 0.41555866599082947, 0.6337682604789734, 0.171810120344162, 0.20325592160224915, 0.0, 0.0, 0.010655892081558704, 0.17279218137264252, 0.0, 0.007716476917266846, 0.0, 0.0]"
10,"[0.0, 0.14980241656303406, 0.0, 0.09410033375024796, 0.2502691149711609, 0.11073853820562363, 0.0, 0.0, 0.0, 0.0, 0.28631189465522766, 0.0, 0.0, 0.0, 0.022055963054299355, 0.0, 0.0, 0.012853129766881466, 0.4553065001964569, 0.0]"
20,"[0.0, 0.041534461081027985, 0.3404884338378906, 0.0, 0.0, 0.0, 0.8528876304626465, 0.04661793261766434, 0.4402393698692322, 0.0497901514172554, 0.05921945720911026, 0.0, 0.0, 0.0, 0.035238027572631836, 0.08847013115882874, 0.0, 0.017177054658532143, 0.0, 0.0]"
30,"[0.08540987223386765, 0.0, 0.2946876883506775, 0.0, 0.0028289020992815495, 0.0, 0.03278317302465439, 0.016283385455608368, 0.2417871356010437, 0.8612340092658997, 0.1460408866405487, 0.09929999709129333, 0.0, 0.0, 0.0, 0.0414738655090332, 0.0, 0.0, 0.0, 0.0]"
40,"[0.0, 0.0, 0.0, 0.04000522941350937, 0.0, 0.06857693940401077, 0.06600940972566605, 0.0, 0.0020019812509417534, 0.0, 0.13980932533740997, 0.0, 0.0, 0.13772615790367126, 0.0, 0.0, 0.0, 0.0, 0.7230237126350403, 0.3897637128829956]"
50,"[0.0, 0.0, 0.3962080776691437, 0.0, 0.17815259099006653, 0.0, 0.06918065994977951, 0.24986295402050018, 0.7304053902626038, 0.15095394849777222, 0.20985472202301025, 0.0631813108921051, 0.0, 0.0, 0.0, 0.045258454978466034, 0.0, 0.03258500620722771, 0.0, 0.0]"
60,"[0.0, 0.0, 0.6935396194458008, 0.0, 0.0, 0.0, 0.08486244082450867, 0.11769700795412064, 0.0, 0.04649100825190544, 0.017808809876441956, 0.0, 0.0, 0.427280992269516, 0.0, 0.1630123257637024, 0.0, 0.21000513434410095, 0.0, 0.0]"
70,"[0.0, 0.0, 0.36492401361465454, 0.0, 0.003104903269559145, 0.0, 0.09478534013032913, 0.11398449540138245, 0.7254868149757385, 0.018998196348547935, 0.32141995429992676, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
80,"[0.0, 0.0, 0.07579008489847183, 0.16713640093803406, 0.3754270076751709, 0.20891985297203064, 0.004117379896342754, 0.20301401615142822, 0.0, 0.0, 0.3952372372150421, 0.5733580589294434, 0.32855942845344543, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2979048788547516, 0.0]"
90,"[0.0, 0.0, 0.0, 0.0, 0.13467559218406677, 0.0, 0.0, 0.0496387779712677, 0.0, 0.0, 0.40591466426849365, 0.0, 0.0, 0.0, 0.19328179955482483, 0.0, 0.0, 0.0, 0.20924730598926544, 0.0]"
100,"[0.0, 0.0, 0.5028399229049683, 0.0, 0.0, 0.0, 0.04163770750164986, 0.0, 0.0, 0.0, 0.0, 0.23087403178215027, 0.0, 0.0, 0.0, 0.14000669121742249, 0.0, 0.508872926235199, 0.11515329778194427, 0.04731617495417595]"
110,"[0.0, 0.25816452503204346, 0.18315117061138153, 0.0, 0.22697782516479492, 0.11907842010259628, 0.11526135355234146, 0.0, 0.5432746410369873, 0.0930764377117157, 0.08662930130958557, 0.1137561947107315, 0.0, 0.0, 0.6830253601074219, 0.1995602548122406, 0.28669846057891846, 0.028328005224466324, 0.25641873478889465, 0.31352758407592773]"
120,"[0.1300594061613083, 0.0, 0.13953456282615662, 0.2959177792072296, 0.05294618755578995, 0.5511540174484253, 0.07023880630731583, 0.0, 0.034944381564855576, 0.0786353126168251, 0.22630102932453156, 0.5017045140266418, 0.5122801661491394, 0.09949999302625656, 0.0, 0.08822111785411835, 0.0, 0.2507171332836151, 0.1417408138513565, 0.0]"
130,"[0.0, 0.0, 0.3941479027271271, 0.0, 0.0, 0.0, 0.08900455385446548, 0.11244305223226547, 0.11952126771211624, 0.7323141694068909, 0.11802377551794052, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
140,"[0.0, 0.01899062469601631, 0.3405161201953888, 0.0, 0.0, 0.0, 0.1281929761171341, 0.0, 0.26773199439048767, 0.5703019499778748, 0.0508708730340004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.030752364546060562, 0.019363388419151306, 0.05883949249982834]"
150,"[0.0, 0.008916576392948627, 0.09720885753631592, 0.0, 0.14165019989013672, 0.04588591679930687, 0.08867043256759644, 0.0, 0.15608900785446167, 0.0, 0.2174290269613266, 0.0, 0.04823523014783859, 0.0, 0.0, 0.09478569030761719, 0.0, 0.01163544598966837, 0.9425526857376099, 0.011216576211154461]"
160,"[0.16442349553108215, 0.11845169216394424, 0.1716448813676834, 0.06585795432329178, 0.25267118215560913, 0.13346584141254425, 0.11440014839172363, 0.2572634518146515, 0.23283717036247253, 0.1546444296836853, 0.03503718227148056, 0.1594778597354889, 0.506878674030304, 0.06445793062448502, 0.0657465010881424, 0.6721081733703613, 0.3021332621574402, 0.42166075110435486, 0.19141893088817596, 0.35584715008735657]"
170,"[0.1073475033044815, 0.13394366204738617, 0.13345661759376526, 0.1843336522579193, 0.22695651650428772, 0.335476279258728, 0.08358307182788849, 0.03130442276597023, 0.7118250727653503, 0.09495942294597626, 0.0799979716539383, 0.1864653378725052, 0.16169866919517517, 0.008540421724319458, 0.08067498356103897, 0.17537739872932434, 0.5852233171463013, 0.03100600652396679, 0.27291160821914673, 0.3109254539012909]"
180,"[0.0, 0.0, 0.0, 0.14867162704467773, 0.0, 0.0, 0.4390842616558075, 0.0, 0.0, 0.0, 0.3620486557483673, 0.0, 0.0, 0.07362659275531769, 0.0, 0.0, 0.15745805203914642, 0.05266259238123894, 0.0, 0.0]"
190,"[0.03727742284536362, 0.029813729226589203, 0.21927550435066223, 0.1311323344707489, 0.0, 0.08095391094684601, 0.47126585245132446, 0.10363374650478363, 0.0, 0.038373734802007675, 0.18832898139953613, 0.4015147387981415, 0.16990678012371063, 0.511834442615509, 0.0, 0.14611220359802246, 0.2529319226741791, 0.32577481865882874, 0.2629624903202057, 0.2625608444213867]"
200,"[0.017141742631793022, 0.05128086730837822, 0.38960331678390503, 0.0, 0.31402650475502014, 0.0047079529613256454, 0.0, 0.12676002085208893, 0.46670520305633545, 0.15986189246177673, 0.24886523187160492, 0.02961019054055214, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00499436492100358, 0.0, 0.0]"
210,"[0.0, 0.0, 0.14102095365524292, 0.0, 0.0, 0.0, 0.26632773876190186, 0.0, 0.12862181663513184, 0.10032795369625092, 0.14570477604866028, 0.0, 0.0, 0.35988426208496094, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
220,"[0.0, 0.8689727783203125, 0.2098485678434372, 0.0, 0.0, 0.0, 0.16651754081249237, 0.0, 0.21475748717784882, 0.02988441474735737, 0.0994395837187767, 0.0, 0.0, 0.15280939638614655, 0.0787956491112709, 0.05022824555635452, 0.07484690845012665, 0.0, 0.2230415940284729, 0.20919503271579742]"
230,"[0.19055885076522827, 0.05564240738749504, 0.0855904296040535, 0.6154946088790894, 0.38526880741119385, 0.6057770848274231, 0.06930272281169891, 0.19734784960746765, 0.05082600191235542, 0.02763628587126732, 0.15891321003437042, 0.1995553821325302, 0.21065831184387207, 0.08082014322280884, 0.07849771529436111, 0.03581572696566582, 0.2509656250476837, 0.2800824046134949, 0.17084571719169617, 0.16342000663280487]"
240,"[0.0, 0.033030856400728226, 0.0, 0.16935229301452637, 0.0, 0.10962945222854614, 0.0, 0.0, 0.0, 0.0, 0.38215771317481995, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0009516021236777306, 0.0, 0.0]"
