movie_id,movie_title,movie_genres,poster_url
3107,Backdraft (1991),"0, 7",https://image.tmdb.org/t/p/w500/bymJtYNIdiAiBR1LRetaJXbfryc.jpg
2114,"Outsiders, The (1983)",7,https://image.tmdb.org/t/p/w500/pl8Tf36TAOb2i561yPbQ9xl4P4D.jpg
256,Junior (1994),"4, 15",https://image.tmdb.org/t/p/w500/4tRF43CbEYHmV8VywkbikQwATB8.jpg
1389,Jaws 3-D (1983),"0, 10",https://image.tmdb.org/t/p/w500/kqDXj53F9paqVGJLGfHtz7giJ3s.jpg
3635,"Spy Who Loved Me, The (1977)",0,https://image.tmdb.org/t/p/w500/3ZxHKFxMYvAko680DsRgAZKWcLi.jpg
2042,D2: The Mighty Ducks (1994),"3, 4",https://image.tmdb.org/t/p/w500/veGW1N6QUglP4osDdOUI6CZCcBI.jpg
2289,"Player, The (1992)","4, 7",https://image.tmdb.org/t/p/w500/uuxhFccZJvmQy5UDzoP3Wzjn7LU.jpg
3334,Key Largo (1948),"5, 7, 9, 16",https://image.tmdb.org/t/p/w500/rySfmQQZhS7RswOiJcJrww6FcHy.jpg
2901,Phantasm (1979),"10, 15",https://image.tmdb.org/t/p/w500/eR0uJ0Wje1lYJ4aHEpkcjgIM8d7.jpg
1206,"Clockwork Orange, A (1971)",15,https://image.tmdb.org/t/p/w500/4sHeTAp65WrSSuc05nRBKddhBxO.jpg
3163,Topsy-Turvy (1999),7,https://image.tmdb.org/t/p/w500/oUYC9Qx4YFOxWWeigvh2xj4ZiBS.jpg
2348,Sid and Nancy (1986),7,https://image.tmdb.org/t/p/w500/wHzCbMCfipDJ38GW5IyBTWDflMz.jpg
112,Rumble in the Bronx (1995),"0, 1, 5",https://image.tmdb.org/t/p/w500/1nAfchiXHQB3iyhK8fCJJEnNs5A.jpg
2369,Desperately Seeking Susan (1985),"4, 14",https://image.tmdb.org/t/p/w500/5vLHhO05KEBYVrCmp1bvI06r32t.jpg
1409,Michael (1996),"4, 14",https://image.tmdb.org/t/p/w500/oprNZ2BvJG9ZV2g3JYeWQgsOZHe.jpg
288,Natural Born Killers (1994),"0, 16",https://image.tmdb.org/t/p/w500/fEKZwT91gxvkAoyPgpNXo8W5fu0.jpg
586,Home Alone (1990),"3, 4",https://image.tmdb.org/t/p/w500/qRktvMOO2QaCL7gvNyvZDoxPOZj.jpg
1197,"Princess Bride, The (1987)","0, 1, 4, 14",https://image.tmdb.org/t/p/w500/kTXxdNv44najTayFcrT487xWuDv.jpg
2502,Office Space (1999),"4, 14",https://image.tmdb.org/t/p/w500/v7fBXxHZ5WQn2PGgpXhTqHgtcJk.jpg
2,Jumanji (1995),"1, 3, 8",https://image.tmdb.org/t/p/w500/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg
1717,Scream 2 (1997),"10, 16",https://image.tmdb.org/t/p/w500/dORlVasiaDkJXTqt9bdH7nFNs6C.jpg
2329,American History X (1998),7,https://image.tmdb.org/t/p/w500/euypWkaYFOLW3e5rLIcTAjWnhhT.jpg
2527,Westworld (1973),"0, 15, 16, 19",https://image.tmdb.org/t/p/w500/qNt29HzxwZ4jGTgSRxdA34ino9Q.jpg
344,Ace Ventura: Pet Detective (1994),4,https://image.tmdb.org/t/p/w500/wnLBkPxGn2w8GwHw44MDDFX4R95.jpg
2455,"Fly, The (1986)","10, 15",https://image.tmdb.org/t/p/w500/gORksEPahEgO409HYJOZlNVyEpe.jpg
2640,Superman (1978),"0, 1, 15",https://image.tmdb.org/t/p/w500/wPLysNDLffQLOVebZQCbXJEv6E6.jpg
1179,"Grifters, The (1990)","5, 7, 9",https://image.tmdb.org/t/p/w500/zMpGfkiDIdg5bB7WGcAT3Fdrfpt.jpg
3481,High Fidelity (2000),4,https://image.tmdb.org/t/p/w500/e2LZGB62GMhv3Fo8tDZjY87I81a.jpg
1073,Willy Wonka and the Chocolate Factory (1971),"1, 3, 4, 8",https://image.tmdb.org/t/p/w500/vh5iYhj80l1inSdep61sF8g1S8m.jpg
1193,One Flew Over the Cuckoo's Nest (1975),7,https://image.tmdb.org/t/p/w500/kjWsMh72V6d8KRLV4EOoSJLT1H7.jpg
1385,Under Siege (1992),0,https://image.tmdb.org/t/p/w500/8FDwOGJT7OSE3Rho4qDoifMpOTW.jpg
362,"Jungle Book, The (1994)","1, 3, 14",https://image.tmdb.org/t/p/w500/a0vfM3bHpftyVvgp452FT1U58N8.jpg
2762,"Sixth Sense, The (1999)",16,https://image.tmdb.org/t/p/w500/vOyfUXNFSnaTk7Vk5AjpsKTUWsu.jpg
1262,"Great Escape, The (1963)","1, 18",https://image.tmdb.org/t/p/w500/gBH4H8UMFxl139HaLz6lRuvsel8.jpg
982,Picnic (1955),7,https://image.tmdb.org/t/p/w500/qTYvLoQnIA6BfSeDG93fZwcWQ2g.jpg
1288,This Is Spinal Tap (1984),"4, 7, 12",https://image.tmdb.org/t/p/w500/z2LA8eBTSuuPC4NBhIZRNIwpimH.jpg
2100,Splash (1984),"4, 8, 14",https://image.tmdb.org/t/p/w500/7FutTsMWBwVhjk1Ujf1wtndUVZh.jpg
2265,Nothing But Trouble (1991),"1, 4",https://image.tmdb.org/t/p/w500/b7FDnVIpUs5IUYx1WvaUfK1ohDQ.jpg
1964,Klute (1971),"7, 13",https://image.tmdb.org/t/p/w500/tVyINAsNGSgD1OIstqwCcs7wyGH.jpg
1320,Alien³ (1992),"0, 10, 15, 16",https://image.tmdb.org/t/p/w500/rJOj0T5DyChfECevDg0xpEGznsl.jpg
1175,Delicatessen (1991),"4, 15",https://image.tmdb.org/t/p/w500/gNtOgQHxE5B8e08zuNRAdDpmK5Z.jpg
2002,Lethal Weapon 3 (1992),"0, 4, 5, 7",https://image.tmdb.org/t/p/w500/smzJxEnusgqv3bvHIWwf4cuwPcr.jpg
3524,Arthur (1981),"4, 14",https://image.tmdb.org/t/p/w500/m8yOFRDVZPxtsr4D2hVdzls6q6t.jpg
232,Eat Drink Man Woman (1994),"4, 7",https://image.tmdb.org/t/p/w500/olhIWtIBFg6VWK59DEd4lAvgVgz.jpg
1580,Men in Black (1997),"0, 1, 4, 15",https://image.tmdb.org/t/p/w500/uLOmOF5IzWoyrgIF5MfUnh5pa1X.jpg
25,Leaving Las Vegas (1995),"7, 14",https://image.tmdb.org/t/p/w500/wTrFpGe3U65kXTldIUxuM2hmOAK.jpg
3252,Scent of a Woman (1992),7,https://image.tmdb.org/t/p/w500/4adI7IaveWb7EidYXfLb3MK3CgO.jpg
2391,"Simple Plan, A (1998)","5, 16",https://image.tmdb.org/t/p/w500/iJYGDwZmVEYRkSPbWQdxzvBLTcK.jpg
1203,12 Angry Men (1957),7,https://image.tmdb.org/t/p/w500/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg
