id,features
0,"[1.0872248411178589, 0.09092257171869278, 0.0, 0.006541356910020113, 0.0, 0.0, 0.0368829108774662, 0.0, 0.0, 0.21679122745990753, 0.04177089408040047, 0.061533618718385696, 0.0, 0.017848806455731392, 0.0, 0.0, 0.22653859853744507, 0.002302939537912607, 0.0, 0.0034591404255479574]"
10,"[0.17245855927467346, 0.0, 0.0, 0.0, 0.4956722855567932, 0.39026501774787903, 0.0, 0.03395790606737137, 0.1851407140493393, 0.0, 0.24582581222057343, 0.15664811432361603, 0.198423370718956, 0.0, 0.04071153700351715, 0.08964145183563232, 0.09758511185646057, 0.0, 0.22791339457035065, 0.07739126682281494]"
20,"[0.05502435192465782, 0.2941026985645294, 0.5629802942276001, 0.05633292719721794, 0.15422552824020386, 0.07992535829544067, 0.13281655311584473, 0.27705734968185425, 0.16957582533359528, 0.18012364208698273, 0.17003479599952698, 0.3811200261116028, 0.1622246652841568, 0.36168670654296875, 0.16972774267196655, 0.31990084052085876, 0.08282125741243362, 0.20822472870349884, 0.33893242478370667, 0.1778842955827713]"
30,"[0.08771279454231262, 0.0, 0.22647754848003387, 0.0, 0.287028968334198, 0.0, 0.0, 0.260687917470932, 0.6630164980888367, 0.07196096330881119, 0.0, 0.08850598335266113, 0.0, 0.0, 0.12792029976844788, 0.3007397949695587, 0.12271503359079361, 0.0, 0.0, 0.0]"
40,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7075847387313843, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01470712386071682, 0.0, 0.0, 0.0, 0.0, 0.0]"
50,"[0.05773138627409935, 0.0, 0.0, 0.026059264317154884, 0.002467871643602848, 0.0, 0.0, 0.0008405934204347432, 0.0, 0.0, 0.0, 0.0, 0.0723278820514679, 0.0, 0.4515930712223053, 0.0018714792095124722, 0.09700652956962585, 0.0, 0.0, 0.0]"
60,"[0.33429059386253357, 0.0900789126753807, 0.0, 0.009867239743471146, 0.2611773610115051, 0.29030317068099976, 0.0, 0.09649209678173065, 0.28549492359161377, 0.0, 0.02180607058107853, 0.6028608083724976, 0.18319062888622284, 0.08359319716691971, 0.06388528645038605, 0.05272984132170677, 0.20136861503124237, 1.193901425722288e-05, 0.23586499691009521, 0.16609837114810944]"
70,"[0.09403024613857269, 0.2782493233680725, 0.8912065029144287, 0.0, 0.17836469411849976, 0.0, 0.2523840665817261, 0.3738250732421875, 0.4172874987125397, 0.20949237048625946, 0.03364096209406853, 0.3410972058773041, 0.08860340714454651, 0.07751668244600296, 0.2368546575307846, 0.27547144889831543, 0.07819957286119461, 0.027890054509043694, 0.054485023021698, 0.054569318890571594]"
80,"[0.0, 0.02865944430232048, 0.0, 0.013182264752686024, 0.0, 0.09689273685216904, 0.0, 0.017852071672677994, 0.0, 0.0, 0.0, 0.010487399995326996, 0.023794865235686302, 0.057931553572416306, 0.0, 0.0, 0.5459310412406921, 0.0960405245423317, 0.05006357654929161, 0.001263118232600391]"
90,"[0.2292177826166153, 0.0, 0.4345196783542633, 0.039040371775627136, 0.23735825717449188, 0.17958928644657135, 0.1367025077342987, 0.2889000475406647, 0.32742753624916077, 0.32891708612442017, 0.427062064409256, 0.5413472056388855, 0.06553000956773758, 0.147586390376091, 0.0735744759440422, 0.17488424479961395, 0.05113094672560692, 0.4120810627937317, 0.0, 0.058737773448228836]"
100,"[0.1977180540561676, 0.037256769835948944, 0.43711087107658386, 0.08742653578519821, 0.15129579603672028, 0.2490776926279068, 0.0, 0.0, 0.3697810769081116, 0.11150653660297394, 0.0, 0.3772618770599365, 0.18299436569213867, 0.0, 0.004459864925593138, 0.48473477363586426, 0.09418325871229172, 0.16681577265262604, 0.19695235788822174, 0.1292235553264618]"
110,"[0.10503722727298737, 0.3225967586040497, 0.572097897529602, 0.0, 0.2134309858083725, 0.145509734749794, 0.10807028412818909, 0.17240922152996063, 0.6192697286605835, 0.34821826219558716, 0.10505995899438858, 0.2771429419517517, 0.08849742263555527, 0.12123548984527588, 0.25999167561531067, 0.3129707872867584, 0.054937802255153656, 0.0, 0.29947593808174133, 0.19233882427215576]"
120,"[0.0, 0.0, 0.0, 0.6531665325164795, 0.0, 0.025921130552887917, 0.0, 0.051600467413663864, 0.0, 0.0, 0.0, 0.0, 0.40525686740875244, 0.0, 0.0, 0.0, 0.0, 0.4619358777999878, 0.023729609325528145, 0.020697183907032013]"
130,"[0.0, 0.0829925611615181, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07760029286146164, 0.0, 0.989288866519928, 0.046719327569007874, 0.0, 0.009128893725574017, 0.012215246446430683, 0.08508478850126266]"
140,"[0.02636736072599888, 0.0, 0.0, 0.5177257061004639, 0.0, 0.01955524832010269, 0.0, 0.0, 0.0, 0.0, 0.19516976177692413, 0.3663012981414795, 0.14544686675071716, 0.0566224679350853, 0.0, 0.0, 0.0, 0.318306028842926, 0.0, 0.08879908174276352]"
150,"[0.0, 0.0, 0.03705597668886185, 0.0, 0.21066252887248993, 0.0, 0.0, 0.0, 0.1221679225564003, 0.0, 0.0, 0.0, 0.24971862137317657, 0.0, 0.10131204128265381, 0.5594145655632019, 0.2809775173664093, 0.0, 0.176744744181633, 0.0]"
160,"[0.0, 0.0, 0.0, 0.5878492593765259, 0.0, 0.04740007594227791, 0.0, 0.0, 0.24125076830387115, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09800732135772705, 0.0, 0.0, 0.02891586162149906]"
170,"[0.14488041400909424, 0.19943472743034363, 0.22057609260082245, 0.185679629445076, 0.08270059525966644, 0.12346439063549042, 0.793682336807251, 0.10562139749526978, 0.46397534012794495, 0.21902982890605927, 0.22142912447452545, 0.15341319143772125, 0.048840172588825226, 0.35221391916275024, 0.33705776929855347, 0.17412331700325012, 0.12800179421901703, 0.0, 0.0, 0.03596264868974686]"
